kanji	on_readings	kun_readings	stroke_count	meanings	name_readings	heisig_en	jlpt	grade	notes	unicode
寝	['シン']	['い.ぬ', 'ね.かす', 'ね.る', 'みたまや', 'や.める']	13	['bed', 'lie down', 'remain unsold', 'rest', 'sleep']	[]	lie down	2	8	[]	5BDD
暗	['アン']	['くら.い', 'くら.む', 'くれ.る']	13	['be blinded', 'darkness', 'disappear', 'grow dark', 'informal', 'shade']	[]	darkness	3	3	[]	6697
盗	['トウ']	['ぬす.み', 'ぬす.む']	11	['pilfer', 'rob', 'steal']	[]	steal	2	8	[]	76D7
吸	['キュウ']	['す.う']	6	['imbibe', 'inhale', 'sip', 'suck']	[]	suck	2	6	[]	5438
陽	['ヨウ']	['ひ']	12	['daytime', 'heaven', 'male', 'positive', 'sunshine', 'yang principle']	['あき', 'あきら', 'あけ', 'はる', 'ひろ', 'やん', 'よ']	sunshine	2	3	[]	967D
御	['ギョ', 'ゴ']	['お-', 'おん-', 'み-']	12	['govern', 'honorable', 'manipulate']	['う']	honorable	2	8	[]	5FA1
歯	['シ']	['は', 'よわ.い', 'よわい', 'よわい.する']	12	['cog', 'tooth']	[]	tooth	2	3	[]	6B6F
忘	['ボウ']	['わす.れる']	7	['forget']	[]	forget	2	6	[]	5FD8
雪	['セツ']	['ゆき']	11	['snow']	['せっ', 'ぶき']	snow	2	2	[]	96EA
吹	['スイ']	['ふ.く']	7	['blow', 'breathe', 'emit', 'puff', 'smoke']	['ふき']	blow	2	8	[]	5439
娘	['ジョウ']	['こ', 'むすめ']	10	['daughter', 'girl']	[]	daughter	2	8	[]	5A18
誤	['ゴ']	['-あやま.る', 'あやま.る']	14	['do wrong', 'err', 'mislead', 'mistake']	[]	mistake	2	6	[]	8AA4
洗	['セン']	['あら.う']	9	['inquire into', 'probe', 'wash']	['あらい', 'らい']	wash	3	6	[]	6D17
慣	['カン']	['な.らす', 'な.れる']	14	['accustomed', 'become experienced', 'get used to']	[]	accustomed	2	5	[]	6163
礼	['ライ', 'レイ']	[]	5	['bow', 'ceremony', 'remuneration', 'salute', 'thanks']	['あや', 'なり', 'のり', 'ひろし', 'れ']	salute/salutation	2	3	[]	793C
窓	['ス', 'ソウ']	['けむだし', 'てんまど', 'まど']	11	['pane', 'window']	[]	window	2	6	[]	7A93
昔	['シャク', 'セキ']	['むかし']	8	['antiquity', 'old times', 'once upon a time']	[]	once upon a time	2	3	[]	6614
貧	['ヒン', 'ビン']	['まず.しい']	11	['poor', 'poverty']	[]	poverty	2	5	[]	8CA7
怒	['ド', 'ヌ']	['いか.る', 'おこ.る']	9	['angry', 'be offended']	[]	angry	2	8	[]	6012
泳	['エイ']	['およ.ぐ']	8	['swim']	[]	swim	2	3	[]	6CF3
祖	['ソ']	[]	9	['ancestor', 'founder', 'pioneer']	['い']	ancestor	2	5	[]	7956
杯	['ハイ']	['さかずき']	8	['counter for cupfuls', 'glass', 'toast', 'wine glass']	[]	cupfuls	2	8	[]	676F
疲	['ヒ']	['-づか.れ', 'つか.らす', 'つか.れる']	10	['exhausted', 'tire', 'weary']	[]	exhausted/tired	2	8	[]	75B2
皆	['カイ']	['みな', 'みんな']	9	['all', 'everything']	['むな']	all	2	8	[]	7686
鳴	['メイ']	['な.く', 'な.らす', 'な.る']	14	['bark', 'chirp', 'cry', 'echo', 'honk', 'ring', 'sound']	['なり', 'なる']	chirp	2	2	[]	9CF4
腹	['フク']	['はら']	13	['abdomen', 'belly', 'stomach']	[]	abdomen	2	6	[]	8179
煙	['エン']	['けむ.い', 'けむ.る', 'けむり']	13	['smoke']	['たば']	smoke	2	8	[]	7159
眠	['ミン']	['ねむ.い', 'ねむ.る']	10	['die', 'sleep', 'sleepy']	['ね']	sleep	2	8	[]	7720
怖	['フ', 'ホ']	['お.じる', 'おそ.れる', 'こわ.い', 'こわ.がる']	8	['be frightened', 'dreadful', 'fearful']	[]	dreadful	2	8	[]	6016
耳	['ジ']	['みみ']	6	['ear']	['がみ']	ear	4	1	[]	8033
頂	['チョウ']	['いただ.く', 'いただき']	11	['peak', 'place on the head', 'receive', 'summit', 'top', 'top of head']	[]	place on the head	2	6	[]	9802
箱	['ソウ']	['はこ']	15	['bin', 'box', 'case', 'chest', 'railway car']	[]	box	2	3	[]	7BB1
晩	['バン']	[]	12	['night', 'nightfall']	[]	nightfall	2	6	[]	6669
寒	['カン']	['さむ.い']	12	['cold']	['さ', 'さん']	cold	3	3	[]	5BD2
髪	['ハツ']	['かみ']	14	['hair of the head']	['がた', 'ひげ']	hair of the head	2	8	[]	9AEA
忙	['ボウ', 'モウ']	['いそが.しい', 'うれえるさま', 'おそ.れる', 'せわ.しい']	6	['busy', 'occupied', 'restless']	[]	busy	2	8	[]	5FD9
才	['サイ']	[]	3	['cubic shaku', 'genius', 'years old']	[]	genius	2	2	[]	624D
靴	['カ']	['くつ']	13	['shoes']	[]	shoes	2	8	[]	9774
恥	['チ']	['は.じらう', 'は.じる', 'は.ずかしい', 'はじ']	10	['dishonor', 'shame']	[]	shame	2	8	[]	6065
偶	['グウ']	['たま']	11	['accidentally', 'couple', 'even number', 'man & wife', 'same kind']	[]	accidentally	2	8	[]	5076
偉	['イ']	['えら.い']	12	['admirable', 'conceited', 'excellent', 'famous', 'greatness', 'remarkable']	['ひで']	admirable	2	8	[]	5049
猫	['ビョウ']	['ねこ']	11	['cat']	[]	cat	2	8	[]	732B
幾	['キ']	['いく-', 'いく.つ', 'いく.ら']	12	['how far', 'how long', 'how many', 'how much', 'several', 'some']	['い', 'く']	how many	1	8	[]	5E7E
党	['トウ']	['なかま', 'むら']	10	['clique', 'faction', 'party']	[]	party	2	6	[]	515A
協	['キョウ']	[]	8	['co-', 'cooperation']	[]	co-	2	4	[]	5354
総	['ソウ']	['す.べて', 'すべ.て', 'ふさ']	14	['all', 'full', 'general', 'total', 'whole']	['うさ', 'ずさ']	general	2	5	[]	7DCF
区	['オウ', 'ク', 'コウ']	[]	4	['district', 'ward']	[]	ward	3	3	[]	533A
県	['ケン']	['か.ける']	9	['prefecture']	['あがた', 'がた']	prefecture	3	3	[]	770C
設	['セツ']	['もう.ける']	11	['establishment', 'prepare', 'provision']	['した']	establishment	2	5	[]	8A2D
改	['カイ']	['あらた.まる', 'あらた.める']	7	['change', 'examine', 'inspect', 'mend', 'modify', 'reformation', 'renew', 'search']	[]	reformation	2	4	[]	6539
府	['フ']	[]	8	['borough', 'govt office', 'representative body', 'storehouse', 'urban prefecture']	['い', 'う', 'お', 'はん']	borough/municipality	2	4	[]	5E9C
査	['サ']	[]	9	['investigate']	[]	investigate	2	5	[]	67FB
委	['イ']	['ゆだ.ねる']	8	['committee', 'devote', 'discard', 'entrust to', 'leave to']	['まかせ']	committee	2	3	[]	59D4
軍	['グン']	['いくさ']	9	['army', 'battle', 'force', 'troops', 'war']	[]	army	2	4	[]	8ECD
団	['ダン', 'トン']	['かたまり', 'まる.い']	6	['association', 'group']	[]	group	2	5	[]	56E3
各	['カク']	['おのおの']	6	['each', 'either', 'every']	['かか', 'かが']	each	2	4	[]	5404
島	['トウ']	['しま']	10	['island']	[]	island	2	3	[]	5CF6
革	['カク']	['かわ']	9	['become serious', 'leather', 'reform', 'skin']	[]	leather	2	6	[]	9769
村	['ソン']	['むら']	7	['town', 'village']	['え', 'むた', 'ら']	town	3	1	[]	6751
勢	['セイ', 'ゼイ']	['いきお.い', 'はずみ']	13	['energy', 'forces', 'military strength']	['せ']	forces	2	5	[]	52E2
減	['ゲン']	['へ.らす', 'へ.る']	12	['curtail', 'decline', 'decrease', 'dwindle', 'get hungry', 'reduce']	[]	dwindle	2	5	[]	6E1B
再	['サ', 'サイ']	['ふたた.び']	6	['again', 'second time', 'twice']	['ふた']	again	2	5	[]	518D
税	['ゼイ']	[]	12	['duty', 'tax']	['さい']	tax	2	5	[]	7A0E
営	['エイ']	['いとな.み', 'いとな.む']	12	['build', 'camp', 'conduct (business)', 'perform']	[]	occupation	2	5	[]	55B6
比	['ヒ']	['くら.べる']	4	['Philippines', 'compare', 'race', 'ratio']	['い', 'ぴっ']	compare	2	5	[]	6BD4
防	['ボウ']	['ふせ.ぐ']	7	['defend', 'protect', 'resist', 'ward off']	['あた', 'う', 'ほう']	ward off	2	5	[]	9632
補	['ホ']	['おぎな.う']	12	['assistant', 'compensate', 'learner', 'make good', 'offset', 'supplement', 'supply']	[]	supplement	2	6	[]	88DC
境	['キョウ', 'ケイ']	['さかい']	14	['border', 'boundary', 'region']	['さか', 'じき']	boundary	2	5	[]	5883
導	['ドウ']	['みちび.く']	15	['conduct', 'guidance', 'leading', 'usher']	['みち']	guidance	2	5	[]	5C0E
副	['フク']	[]	11	['aide', 'assistant', 'copy', 'duplicate', 'vice-']	['そい', 'そえ']	vice-	2	4	[]	526F
算	['サン']	['そろ']	14	['abacus', 'calculate', 'divining', 'number', 'probability']	[]	calculate	2	2	[]	7B97
輸	['シュ', 'ユ']	[]	16	['be inferior', 'send', 'transport']	[]	transport	2	5	[]	8F38
述	['ジュツ']	['の.べる']	8	['mention', 'relate', 'speak', 'state']	[]	mention	2	5	[]	8FF0
